img;txt;data;conta;horarios
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1018.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1018.txt;6/27/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2293.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2293.txt;6/27/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1403.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1403.txt;6/27/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1127.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1127.txt;6/28/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1811.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1811.txt;6/28/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2240.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2240.txt;6/28/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\601.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\601.txt;6/29/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\315.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\315.txt;6/29/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2119.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\2119.txt;6/29/2021;sobremesas_diarias;6:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\446.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\446.txt;6/30/2021;sobremesas_diarias;1:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1345.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\1345.txt;6/30/2021;sobremesas_diarias;3:00 P
D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\575.jpg;D:\Linux\pycharm\data\instabot\insta_sobremesas\calendario\receitas_da_semana\575.txt;6/30/2021;sobremesas_diarias;6:00 P
